2020-02-08 18:18:43,300 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 18:18:43,884 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 18:18:44,456 - Worker-0 - INFO - Downloaded https://www.cs.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 18:18:45,029 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 18:18:45,530 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-08 18:34:29,006 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-08 18:35:44,578 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-08 18:35:49,252 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-08 18:37:10,578 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 18:37:11,165 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 18:37:11,735 - Worker-0 - INFO - Downloaded https://www.cs.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 18:37:12,320 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 18:37:12,821 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-08 19:33:17,348 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:35:15,195 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-08 19:35:38,441 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:36:50,721 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:37:31,241 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-08 19:37:34,944 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:37:35,513 - Worker-0 - INFO - Downloaded >, status <603>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:42:21,718 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:56:59,661 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-08 19:57:11,816 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:06,236 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:06,788 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-includes/js/wp-embed.min.js?ver=5.2.4, status <605>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:30,378 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:30,955 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/laist-socal-professors-push-to-make-college-level-statistics-less-painful-jessica-utts-quoted, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:31,530 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ics-welcomes-8-new-faculty-for-2019, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:32,141 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/senior-spotlight-taneisha-arora-pursues-her-passions-from-working-in-industry-to-running-a-bakery, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:32,724 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-professors-shahbaba-and-minin-help-develop-framework-to-investigate-complex-biological-systems, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:33,305 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/hal-stern-appointed-vice-provost-for-academic-planning, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:33,880 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/professor-nan-awarded-nsf-grant-to-improve-statistical-inference, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:34,458 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/renewed-funding-lets-hal-stern-continue-research-of-early-life-adversity-brain-development-with-the-uci-conte-center, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:35,029 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/conference-honors-statistics-professor-emeritus-wesley-johnson, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:58:35,602 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ics-students-win-best-web-app-at-hacksc, status <200>, using cache ('styx.ics.uci.edu', 9014).
